date,open,high,low,close,volume,symbol,source,download_timestamp_market,asset,adractcnt,feetotntv,txcnt,download_timestamp_onchain,sma_20,ema_20,rsi_14,macd,macd_signal,bb_upper,bb_lower,bb_width
2024-10-17,67608.45,67926.99,66629.97,67402.33,7912.22639285,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,765780,50.32160159,637858,2025-06-29 17:05:04.117435,63287.20599999999,63774.07231836919,66.59449978672293,1272.8642629705937,724.6436005528694,68023.37110006322,58551.040899936765,9472.330200126453
2024-10-18,67399.86,69000.62,67149.24,68426.11,11802.74441943,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,723986,24.71878877,471530,2025-06-29 17:05:04.117435,63415.562,64217.12352614355,69.14052330000973,1482.3440205130028,876.1836845448962,68546.27453139609,58284.8494686039,10261.425062792194
2024-10-19,68426.11,68689.29,68005.83,68363.73,1868.86958754,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,685573,15.38628622,738236,2025-06-29 17:05:04.117435,63553.748,64612.038428415595,68.7964634804676,1624.597345989103,1025.8664168337375,69048.32171374204,58059.17428625796,10989.14742748408
2024-10-20,68363.73,69380.0,68083.18,69014.86,2632.89214855,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,688498,13.55162116,785369,2025-06-29 17:05:04.117435,63839.4285,65031.35476856649,70.4494664725284,1769.4774460517,1174.58862267733,69824.06589174998,57854.79110825002,11969.27478349996
2024-10-21,69014.87,69498.0,66802.0,67346.15,10226.59346669,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,717571,18.03407499,837363,2025-06-29 17:05:04.117435,64167.236,65251.811457274445,61.4631360503925,1729.7060435816384,1285.6121068581917,70166.04171304798,58168.43028695202,11997.611426095958
2024-10-22,67346.15,67800.0,66535.0,67380.08,8598.06472763,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,639877,25.73374623,696851,2025-06-29 17:05:04.117435,64504.67150000001,65454.503699438785,61.57047500610049,1681.541029753731,1364.7978914372998,70428.70920716664,58580.633792833374,11848.075414333267
2024-10-23,67389.7,67415.65,65149.51,66601.11,9021.17140157,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,740774,23.72766322,655119,2025-06-29 17:05:04.117435,64797.4775,65563.70429949224,57.60356870905644,1562.501990090801,1404.3387111680001,70524.8897622661,59070.06523773389,11454.82452453221
2024-10-24,66601.1,68800.0,66445.32,68156.84,10016.19830413,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,656927,49.28574683,700022,2025-06-29 17:05:04.117435,65100.784,65810.6696043025,62.763526611368434,1575.5353124051398,1438.578031415428,70865.07208368016,59336.49591631983,11528.576167360334
2024-10-25,68156.84,68742.38,65500.01,66564.51,14485.49253537,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,859095,34.73362813,503588,2025-06-29 17:05:04.117435,65326.44500000001,65882.46392770227,55.33955874949798,1440.7683106581972,1439.016087263982,70947.11592021774,59705.77407978228,11241.34184043546
2024-10-26,66564.51,67365.18,66331.95,67012.56,2949.2199701,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,727063,10.27423282,603956,2025-06-29 17:05:04.117435,65536.53,65990.09212506395,56.88494064806338,1354.5044966324203,1422.1137691376698,71078.94481167561,59994.11518832439,11084.829623351223
2024-10-27,67008.15,68261.37,66836.78,67943.19,2819.59766921,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,654362,8.21010153,695610,2025-06-29 17:05:04.117435,65823.6755,66176.10144648643,59.98235686913348,1345.7212292716868,1406.8352611644732,71238.54774693439,60408.803253065606,10829.744493868784
2024-10-28,67943.18,70235.98,67532.48,69924.5,16140.14013624,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,756668,7.43238722,713082,2025-06-29 17:05:04.117435,66213.7995,66533.0917849163,65.64165846474279,1481.55711690335,1421.7796323122486,71629.9749160053,60797.624083994684,10832.35083201062
2024-10-29,69924.49,73624.98,69705.76,72724.35,20616.91187006,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,831182,11.48863344,617786,2025-06-29 17:05:04.117435,66821.10299999999,67122.73542444808,71.72659972841599,1794.4472611514939,1496.3131580800978,72296.98863870041,61345.217361299576,10951.771277400832
2024-10-30,72724.35,72948.6,71400.01,72322.91,13543.49337837,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,794409,9.51950036,674680,2025-06-29 17:05:04.117435,67423.272,67617.99014592922,69.81736975451801,1987.1158669168217,1594.4736998474427,72525.27494982917,62321.26905017083,10204.00589965834
2024-10-31,72322.91,72684.02,69559.33,70197.83,14726.78460342,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,789382,65.59262752,562286,2025-06-29 17:05:04.117435,67807.226,67863.68917965025,60.61871994790294,1945.8998074233677,1664.758921362628,72515.6778276157,63098.77417238429,9416.903655231406
2024-11-01,70198.02,71620.0,68720.0,69467.29,15295.28781188,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,819093,8.45088325,547824,2025-06-29 17:05:04.117435,68121.21699999999,68016.41306730261,57.7994435283355,1833.1558313823625,1698.438303366575,72370.67468511297,63871.75931488701,8498.915370225965
2024-11-02,69466.64,69891.92,69000.0,69358.94,2203.99644104,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,690705,6.98802368,540251,2025-06-29 17:05:04.117435,68446.899,68144.27277517856,57.373246982758346,1715.2896868330572,1701.8085800598715,71964.41903033925,64929.37896966075,7035.040060678504
2024-11-03,69360.95,69364.65,67444.0,68738.18,6758.88506466,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,627617,5.25744622,455287,2025-06-29 17:05:04.117435,68580.5255,68200.8353680187,54.87662299934894,1553.8776398290938,1672.222392013716,71924.83747139575,65236.213528604254,6688.623942791492
2024-11-04,68736.4,69453.94,66783.77,67807.48,12431.01371517,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,811710,6.53551271,462249,2025-06-29 17:05:04.117435,68618.06950000001,68163.37295201691,51.274056086014525,1335.4633279048576,1604.8705791919444,71909.54856531107,65326.59043468896,6582.958130622108
2024-11-05,67810.15,70557.67,67427.53,69380.73,12867.66127618,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,768957,6.32291368,457869,2025-06-29 17:05:04.117435,68706.684,68279.31171849149,56.47557765747815,1274.6234729453572,1538.821157942627,71980.04376958506,65433.32423041493,6546.719539170124
2024-11-06,69380.64,76509.56,69285.82,75646.55,45398.11837369,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,894241,8.31425928,500965,2025-06-29 17:05:04.117435,69118.895,68980.95345958753,70.14504132220304,1712.2687891685928,1573.5106841878203,73515.17668969893,64722.61331030108,8792.563379397849
2024-11-07,75646.55,76999.0,74463.96,75920.0,21932.40207681,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,792482,6.82760192,567009,2025-06-29 17:05:04.117435,69493.5895,69641.8150348649,70.57930753953283,2057.453936760372,1670.2993347023307,74777.59597755292,64209.58302244709,10568.012955105827
2024-11-08,75925.0,77312.18,75654.26,76566.73,18378.39876264,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,848426,7.83022716,481877,2025-06-29 17:05:04.117435,69903.7395,70301.33074583016,71.63035711969204,2356.042369354953,1807.4479416328552,75986.36879771503,63821.11020228497,12165.25859543006
