asset,time,AdrActCnt,FeeTotNtv,TxCnt,download_timestamp
btc,2024-09-03 00:00:00+00:00,699302,8.42822766,592324,2025-06-29 16:50:53.838759
btc,2024-09-04 00:00:00+00:00,699461,7.74885958,728756,2025-06-29 16:50:53.838759
btc,2024-09-05 00:00:00+00:00,734546,10.81990512,714387,2025-06-29 16:50:53.838759
btc,2024-09-06 00:00:00+00:00,726287,7.59197643,665444,2025-06-29 16:50:53.838759
btc,2024-09-07 00:00:00+00:00,606660,6.46683071,794571,2025-06-29 16:50:53.838759
btc,2024-09-08 00:00:00+00:00,596940,6.33151484,906655,2025-06-29 16:50:53.838759
btc,2024-09-09 00:00:00+00:00,736827,6.91182253,570838,2025-06-29 16:50:53.838759
btc,2024-09-10 00:00:00+00:00,733172,7.09570672,556413,2025-06-29 16:50:53.838759
btc,2024-09-11 00:00:00+00:00,662704,6.59198231,408991,2025-06-29 16:50:53.838759
btc,2024-09-12 00:00:00+00:00,775748,8.30613518,561823,2025-06-29 16:50:53.838759
btc,2024-09-13 00:00:00+00:00,794367,7.52913494,422965,2025-06-29 16:50:53.838759
btc,2024-09-14 00:00:00+00:00,688474,6.77228776,637192,2025-06-29 16:50:53.838759
btc,2024-09-15 00:00:00+00:00,643849,6.03449901,730022,2025-06-29 16:50:53.838759
btc,2024-09-16 00:00:00+00:00,746172,6.69885955,486773,2025-06-29 16:50:53.838759
btc,2024-09-17 00:00:00+00:00,732953,8.05436086,551806,2025-06-29 16:50:53.838759
btc,2024-09-18 00:00:00+00:00,720313,7.11434967,535050,2025-06-29 16:50:53.838759
btc,2024-09-19 00:00:00+00:00,746741,10.00384875,449403,2025-06-29 16:50:53.838759
btc,2024-09-20 00:00:00+00:00,822445,9.57190122,524801,2025-06-29 16:50:53.838759
btc,2024-09-21 00:00:00+00:00,665209,5.89529395,564640,2025-06-29 16:50:53.838759
btc,2024-09-22 00:00:00+00:00,595289,5.26931683,629903,2025-06-29 16:50:53.838759
btc,2024-09-23 00:00:00+00:00,796781,7.83739591,573531,2025-06-29 16:50:53.838759
btc,2024-09-24 00:00:00+00:00,749184,6.91630544,531570,2025-06-29 16:50:53.838759
btc,2024-09-25 00:00:00+00:00,713234,6.62531601,504605,2025-06-29 16:50:53.838759
btc,2024-09-26 00:00:00+00:00,721855,8.76025312,483781,2025-06-29 16:50:53.838759
btc,2024-09-27 00:00:00+00:00,751618,10.96442965,434448,2025-06-29 16:50:53.838759
btc,2024-09-28 00:00:00+00:00,649697,9.9366052,521838,2025-06-29 16:50:53.838759
btc,2024-09-29 00:00:00+00:00,680061,7.51745261,685081,2025-06-29 16:50:53.838759
btc,2024-09-30 00:00:00+00:00,732082,7.39176461,593815,2025-06-29 16:50:53.838759
btc,2024-10-01 00:00:00+00:00,863700,7.89629034,624352,2025-06-29 16:50:53.838759
btc,2024-10-02 00:00:00+00:00,711643,6.8074531,599545,2025-06-29 16:50:53.838759
btc,2024-10-03 00:00:00+00:00,737116,7.60769711,574536,2025-06-29 16:50:53.838759
btc,2024-10-04 00:00:00+00:00,784413,7.36742345,571667,2025-06-29 16:50:53.838759
btc,2024-10-05 00:00:00+00:00,608641,11.98735357,759113,2025-06-29 16:50:53.838759
btc,2024-10-06 00:00:00+00:00,610738,9.89011969,744069,2025-06-29 16:50:53.838759
btc,2024-10-07 00:00:00+00:00,719501,15.187683,717392,2025-06-29 16:50:53.838759
btc,2024-10-08 00:00:00+00:00,822783,14.45446138,711462,2025-06-29 16:50:53.838759
btc,2024-10-09 00:00:00+00:00,668278,15.04769008,534258,2025-06-29 16:50:53.838759
btc,2024-10-10 00:00:00+00:00,679738,25.35958928,759342,2025-06-29 16:50:53.838759
btc,2024-10-11 00:00:00+00:00,718986,45.73079814,631180,2025-06-29 16:50:53.838759
btc,2024-10-12 00:00:00+00:00,606243,44.38733295,732389,2025-06-29 16:50:53.838759
